id,question,options,image,decoded_image,answer,solution,level,subject
19,"Eve has taken 2 bananas to school. At first she changed each of them into 4 apples, later on she exchanged each apple into 3 mandarins. How many mandarins has Eve got? <image1>","['$2+4+3$', '$2 \\cdot 4+3$', '$2+4 \\cdot 3$', '$2 \\cdot 4 \\cdot 3$', '$2+4-3$']",images/19.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=442x267 at 0x7CE8E1D5D9D0>,D,,2,arithmetic
21,"Which of the figures shown bellow cannot be cut out of the figure illustrated nearby?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/21.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1340x811 at 0x7CE8E1D5EA10>,E,,1,combinatorial geometry
22,"What time is it now, if after 6 hours and 30 minutes the clock will show 4:00?
<image1>","['10:00', '10:30', '2:30', '22:10', '21:30']",images/22.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=324x178 at 0x7CE8E1D5F310>,E,,2,arithmetic
24,"A trip of the pupils to the zoo took 135 minutes.
<image1>
How many hours and minutes does it make?","['3 h 5 min', '2 h 15 min', '1 h 35 min', '2 h 35 min', '3 h 35 min']",images/24.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=706x216 at 0x7CE8E1D644D0>,B,,2,arithmetic
25,"A wooden block has 8 vertices. One vertex is cut off now (see the picture).
<image1>
How many vertices has the block now?",[],images/25.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=372x374 at 0x7CE8E1D64D10>,10,,1,solid geometry
30,"Put the animals in order of size. Begin with the smallest. Which animal will be in the middle?
<image1>",[],images/30.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1140x1131 at 0x7CE8E1D67550>,2,,1,metric geometry - area
31,"How many ducks weigh the same as a crocodile?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/31.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1405x755 at 0x7CE8E1D67D90>,B,,2,arithmetic
36,"The rabbit family Hoppel eat cabbages and carrots. Each day they eat either 10 carrots or 2 cabbages. In the whole of last week they ate 6 cabbages. How many carrots did the rabbit family eat last week?
<image1>",[],images/36.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=481x336 at 0x7CE8E1D6A550>,40,,2,arithmetic
37,"A square is cut into four pieces. Which shape can you not make with these four pieces?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/37.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1659x1140 at 0x7CE8E1D6AD50>,D,,1,combinatorial geometry
40,"Which shape cannot be seen in every picture?
<image1>","['A', 'B', 'C', 'D', 'E']",images/40.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1515x536 at 0x7CE8E1D78710>,D,,1,combinatorial geometry
42,"Which part of the house is missing?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/42.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1260x1054 at 0x7CE8E1D796D0>,E,,1,combinatorial geometry
47,"How many numbers are outside the square?
<image1>",[],images/47.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=524x384 at 0x7CE8E1D7BF10>,2,,1,counting
48,"Michael has two building blocks. Each building block is made up of two cubes glued together. Which figure can he not make using the blocks?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/48.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1533x739 at 0x7CE8E1D80710>,B,,1,combinatorial geometry
51,"How many ropes can you see in this picture?
<image1>",[],images/51.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=401x302 at 0x7CE8E1D81ED0>,3,,5,topology
54,"A hen lays white and brown eggs. Lisa takes six of them and puts them in a box as shown. The brown eggs are not allowed to touch each other. What is the maximum number of brown eggs Lisa can place in the box?
<image1>",[],images/54.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=854x374 at 0x7CE8E1D83650>,3,,1,combinatorics
56,"Konrad has some pieces of cardboard which all look like this:
<image1>
Which of the shapes below can he not make out of these pieces?
<image2>","['A', 'B', 'C', 'D', 'E']",images/56.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1630x583 at 0x7CE8E1D8C810>,D,,1,combinatorial geometry
57,"Five sparrows are sitting on a rope (see picture). Some of them are looking to the left, some of them are looking to the right. Every sparrow whistles as many times as the number of sparrows he can see sitting in front of him. For example, the third sparrow whistles exactly twice. How often do all sparrows whistle altogether?
<image1>",[],images/57.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1231x278 at 0x7CE8E1D8D050>,10,,2,arithmetic
67,"In which picture are there half as many circles as triangles and twice as many squares as triangles?
<image1>","['A', 'B', 'C', 'D', 'E']",images/67.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1782x278 at 0x7CE8DADDA110>,E,,1,counting
68,"Old McDonald has a horse, two cows and three pigs.
<image1>
How many more cows does he need, so that exactly half of all his animals are cows?",[],images/68.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1094x251 at 0x7CE8DADDA910>,2,,2,arithmetic
69,"Lisa has several sheets of construction paper like this
<image1>
and
<image2>
She wants to make 7 identical crowns:
<image3>
For that she cuts out the necessary parts.
What is the minimum number of sheets of construction paper that she has to cut up?",[],images/69.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x664 at 0x7CE8DADDB110>,9,,2,arithmetic
70,"Simon has two identical tiles, whose front look like this: The back is white.
<image1>
Which pattern can he make with those two tiles?
<image2>","['A', 'B', 'C', 'D', 'E']",images/70.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1648x595 at 0x7CE8DADDB910>,A,,2,descriptive geometry
72,"Alice draws lines between the beetles. She starts with the beetle with the fewest points. Then she continues drawing to the beetle with one more point. Which figure is formed?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/72.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1812x770 at 0x7CE8DADE0AD0>,D,,1,counting
73,"The same amount of kangaroos should be in both parks. How many kangaroos have to be moved from the left park to the right park for that to happen?
<image1>",[],images/73.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x559 at 0x7CE8DADE12D0>,5,,2,arithmetic
74,"Which beetle has to fly away so that the remaining beetles have 20 dots altogether?
<image1>","['Beetle with 4 points', 'Beetle with 7 points', 'Beetle with 5 points', 'Beetle with 6 points', 'no beetle']",images/74.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1230x264 at 0x7CE8DADE1D50>,B,,2,arithmetic
76,"Theodor has built this tower made up of discs. He looks at the tower from above. How many discs does he see?
<image1>",[],images/76.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x258 at 0x7CE8DADE28D0>,3,,2,descriptive geometry
77,"This diagram shows two see-through sheets. You place the sheets on top of each other.Which pattern do you get?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/77.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1844x772 at 0x7CE8DADE2ED0>,D,,1,combinatorial geometry
81,"How many of the hands pictured show a right hand?
<image1>",[],images/81.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x572 at 0x7CE8DADE4750>,5,,1,counting
82,"The number of spots on the fly agarics (toadstools) shows how many dwarfs fit under it. We can see one side of the fungi. The other side has the same amount of spots. When it rains 36 dwarfs are trying to hide under the fungi. How many dwarfs get wet?
<image1>",[],images/82.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=822x212 at 0x7CE8DADE4E50>,6,,2,arithmetic
83,"Susi makes this pattern using ice-lolly sticks. Each stick is $5 \mathrm{~cm}$ long and $1 \mathrm{~cm}$ wide. How long is Susi's pattern?
<image1>","['$20 \\mathrm{~cm}$', '$21 \\mathrm{~cm}$', '$22 \\mathrm{~cm}$', '$23 \\mathrm{~cm}$', '$25 \\mathrm{~cm}$']",images/83.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1186x560 at 0x7CE8DADE5650>,B,,1,combinatorial geometry
84,"The road from Anna's to Mary's house is $16 \mathrm{~km}$ long. The road from Mary's to John's house is $20 \mathrm{~km}$ long. The road from the crossing to Mary's house is $9 \mathrm{~km}$ long. How long is the road from Anna's to John's house?
<image1>","['$7 \\mathrm{~km}$', '$9 \\mathrm{~km}$', '$11 \\mathrm{~km}$', '$16 \\mathrm{~km}$', '$18 \\mathrm{~km}$']",images/84.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=886x557 at 0x7CE8DADE5E90>,E,,2,arithmetic
85,"Which of these clouds contain only numbers that are smaller than 7 ?
<image1>","['A', 'B', 'C', 'D', 'E']",images/85.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1812x275 at 0x7CE8DADE66D0>,D,,2,arithmetic
87,Mother kangaroo and her son Max together weigh $60 \mathrm{~kg}$ (kilograms). The mother on her own weighs $52 \mathrm{~kg}$. How heavy is Max? <image1>,"['$4 \\mathrm{~kg}$', '$8 \\mathrm{~kg}$', '$30 \\mathrm{~kg}$', '$56 \\mathrm{~kg}$', '$112 \\mathrm{~kg}$']",images/87.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=213x316 at 0x7CE8DADE7710>,B,,2,arithmetic
88,"There are 12 children in front of a zoo. Susi is the 7th from the front and Kim the $2 \mathrm{nd}$ from the back. <image1>
How many children are there between Susi and Kim?",[],images/88.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=911x317 at 0x7CE8DADE7ED0>,3,,2,arithmetic
94,"The giants Tim and Tom build a sandcastle and decorate it with a flag. They insert half the flagpole into the highest point of the sandcastle. The highest point of the flagpole is now $16 \mathrm{~m}$ above the floor, the lowest $6 \mathrm{~m}$ (see diagram). How high is the sandcastle? <image1>","['$11 \\mathrm{~m}$', '$12 \\mathrm{~m}$', '$13 \\mathrm{~m}$', '$14 \\mathrm{~m}$', '$15 \\mathrm{~m}$']",images/94.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=421x329 at 0x7CE8DADF2C10>,A,,1,metric geometry - length
96,"Each figure is made up of 4 equally big cubes and coloured in. Which figure needs the least amount of colour?
<image1>","['A', 'B', 'C', 'D', 'E']",images/96.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1784x293 at 0x7CE8DADF3C50>,B,,1,solid geometry
97,"Four strips of paper are used to make a pattern (see picture).
<image1>
What do you see when you look at it from behind?
<image2>","['A', 'B', 'C', 'D', 'E']",images/97.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1705x674 at 0x7CE8DAE00450>,D,,2,descriptive geometry
98,"The kangaroo goes up three steps each time the rabbit goes down two steps. When the kangaroo is on step 9, on which step will the rabbit be?
<image1>",[],images/98.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=799x468 at 0x7CE8DAE00C50>,4,,2,arithmetic
101,"Every night the wizard Tilim makes the weather forecast for the king. When Tilim gets it right he gets 3 gold coins, but when he makes a mistake, he pays a fine of 2 gold coins. After making the prediction for 5 days, Tilim did the math and discovered that he neither won nor lost coins. How many times did he get the weather forecast right in those 5 days?
<image1>",[],images/101.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x383 at 0x7CE8DAE02410>,2,,3,logic
102,"A magician takes animals out of his hat always in the same order, as shown below.
<image1>
The pattern of the figure is repeated every five animals. What will be the fourteenth animal he will pull out of his hat?
<image2>","['A', 'B', 'C', 'D', 'E']",images/102.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1599x501 at 0x7CE8DAE02C10>,A,,1,combinatorics
103,"Ana has the cards shown on the left. She chooses several of them to assemble the tower shown on the right. Which cards did she not use?
<image1>
<image2>
<image3>","['A', 'B', 'C', 'D', 'E']",images/103.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1725x1251 at 0x7CE8DAE033D0>,C,,1,combinatorial geometry
106,"Which of the tiles below is NOT part of the wall next door?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/106.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1133x700 at 0x7CE8DAE0CC50>,E,,1,combinatorial geometry
108,"Five blocks are built with equal cubes glued face to face. In which of them was the smallest number of cubes used?
<image1>","['A', 'B', 'C', 'D', 'E']",images/108.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1719x327 at 0x7CE8DAE0DDD0>,A,,1,solid geometry
109,"Numbers were written on the petals of two flowers, with a number on each petal. One of the petals is hidden. The sum of the numbers written on the back flower is twice the sum of the numbers written on the front flower. What is the number written on the hidden petal?
<image1>",[],images/109.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=429x472 at 0x7CE8DAE0E610>,30,,2,arithmetic
111,"Maria wants to write whole numbers in the squares of the figure, so that the sum of the numbers in three consecutive squares is always 10. She has already written a number. What number should she write on the gray square?
<image1>",[],images/111.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=358x95 at 0x7CE8DAE0F610>,2,,3,logic
112,"Turning a card around on the top side, we see the photo of the kangaroo. Instead, if we turn the card around on the right side, what will appear?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/112.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1674x874 at 0x7CE8DAE0FE10>,D,,2,transformation geometry
113,"Tom has these nine cards:
<image1>
He places these cards on the board next to each other so that each horizontal line and each vertical line has three cards with the three different shapes and the three different amounts of drawings. He has already placed three cards, as shown in the picture. Which card should he place in the colored box?
<image2>
<image3>","['A', 'B', 'C', 'D', 'E']",images/113.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1570x939 at 0x7CE8DAE14690>,E,,3,logic
116,"Rita numbered the circles of the figure from 1 to 8 , so that the sum of the three numbers on each of the four sides of the square equals 13 . What is the sum of the four numbers written on the colored circles?
<image1>",[],images/116.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x318 at 0x7CE8DAE15E90>,16,,2,arithmetic
119,"A kangaroo laid out 3 sticks like this to make a shape. It is not allowed to break or to bend the sticks. Which shape could the kangaroo make?
<image1>","['A', 'B', 'C', 'D', 'E']",images/119.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1703x398 at 0x7CE8DAE177D0>,E,,1,combinatorial geometry
121,"Which of the paths shown in the pictures is the longest?
<image1>","['A', 'B', 'C', 'D', 'E']",images/121.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1706x296 at 0x7CE8DAE18850>,A,,1,counting
122,"Four identical pieces of paper are placed as shown. Michael wants to punch a hole that goes through all four pieces. At which point should Michael punch the hole?
<image1>","['A', 'B', 'C', 'D', 'E']",images/122.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=376x368 at 0x7CE8DAE19050>,D,,2,descriptive geometry
127,"Rose the cat walks along the wall. She starts at point $B$ and follows the direction of the arrows shown in the picture. The cat walks a total of 20 metres. Where does she end up?
<image1>","['A', 'B', 'C', 'D', 'E']",images/127.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=504x444 at 0x7CE8DAE1B810>,D,,1,metric geometry - length
128,"Julia has two pots with flowers, as shown. She keeps the flowers exactly where they are. She buys more flowers and puts them in the pots. After that, each pot has the same number of each type of flower. What is the smallest number of flowers she needs to buy?
<image1>",[],images/128.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x320 at 0x7CE8DAE20050>,8,,2,arithmetic
129,"Tom encodes words using the board shown. For example, the word PIZZA has the code $A 2 A 4 C 1 C 1 B 2$. What word did Tom encode as B3B2C4D2?
<image1>","['MAZE', 'MASK', 'MILK', 'MATE', 'MATH']",images/129.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=303x308 at 0x7CE8DAE209D0>,E,,1,algebra
132,"Mara built the square by using 4 of the following 5 shapes. Which shape was not used?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/132.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1777x774 at 0x7CE8DAE221D0>,D,,1,combinatorial geometry
134,"The picture beside shows two cogs, each with a black tooth. Where will the black teeth be after the small cog has made one full turn?
<image1>
<image2>","['A', 'B', 'C', 'D', 'E']",images/134.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1679x708 at 0x7CE8DAE23210>,C,,2,transformation geometry
135,"Each participant in a cooking contest baked one tray of cookies like the one shown beside. What is the smallest number of trays of cookies needed to make the following plate?
<image1>",[],images/135.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=515x316 at 0x7CE8DAE239D0>,3,,1,counting
136,"Stan has five toys: a ball, a set of blocks, a game, a puzzle and a car. He puts each toy on a different shelf of the bookcase. The ball is higher than the blocks and lower than the car. The game is directly above the ball. On which shelf can the puzzle not be placed?
<image1>",[],images/136.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x415 at 0x7CE8DAE24210>,3,,3,logic
137,"In which box are the most triangles?
<image1>","['A', 'B', 'C', 'D', 'E']",images/137.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1785x287 at 0x7CE8DAE24A50>,B,,1,counting
138,"A sandwich and a juice cost 12 Euros together. A sandwich and two juices cost 14 Euros together. How many Euros does one juice cost?
<image1>",[],images/138.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x364 at 0x7CE8DAE25210>,2,,1,algebra
139,"Anna cuts the picture of a mushroom in two halves.
<image1>
She then arranges the two pieces together to form a new picture. What could this new picture look like?
<image2>","['A', 'B', 'C', 'D', 'E']",images/139.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1757x675 at 0x7CE8DAE259D0>,E,,1,combinatorial geometry
140,"In the four squares of a row there always have to be exactly two coins. In the four squares below each other there also always have to be exactly two coins.
<image1>
On which square does one more coin have to be placed?","['square $A$', 'square $B$', 'square $C$', 'square $D$', 'square $E$']",images/140.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=380x376 at 0x7CE8DAE26310>,D,,3,logic
141,"A monkey has torn off a piece of Captain Jack's map.
<image1>
What does the piece the monkey has torn off look like?
<image2>","['A', 'B', 'C', 'D', 'E']",images/141.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1824x963 at 0x7CE8DAE26B10>,B,,1,combinatorial geometry
142,"These five animals are made up from different shapes. There is one shape which is only used on one animal. On which animal is this shape used?
<image1>","['A', 'B', 'C', 'D', 'E']",images/142.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1895x407 at 0x7CE8DAE27310>,D,,1,combinatorial geometry
143,"There is an animal asleep in each of the five baskets. The koala and the fox sleep in baskets with the same pattern and the same shape. The kangaroo and the rabbit sleep in baskets with the same pattern.
<image1>
In which basket does the mouse sleep?","['Basket 1', 'Basket 2', 'Basket 3', 'Basket 4', 'Basket 5']",images/143.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1313x322 at 0x7CE8DAE27C50>,E,,3,logic
144,"The picture shows one object made up of 5 identical building blocks.
<image1>
How many building blocks touch exactly 3 others?",[],images/144.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=327x324 at 0x7CE8DAE34490>,2,,1,counting
145,"The kangaroo wants to visit the koala. On its way it is not allowed to jump through a square with water. Each arrow shows one jump on to a neighbouring field.
<image1>
Which path is the kangaroo allowed to take?
<image2>","['A', 'B', 'C', 'D', 'E']",images/145.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=805x1163 at 0x7CE8DAE34C90>,C,,1,combinatorial geometry
146,"Carl writes down a five-digit number.
He then places a shape on each of the five digits (see picture).
He places different shapes on different digits.
He places the same shape on the same digits.
Which number did Carl hide?
<image1>",[],images/146.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=577x179 at 0x7CE8DAE354D0>,34426,,3,logic
147,"Katrin forms a path around each square. For that she uses stones like this
<image1>
How many such stones does she need for a path around the square with side length 5?",[],images/147.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=158x121 at 0x7CE8DAE35C90>,12,,1,combinatorial geometry
148,"Below you see five pieces of lawn. Which one has the smallest area of grass?
<image1>","['A', 'B', 'C', 'D', 'E']",images/148.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1736x222 at 0x7CE8DAE36450>,A,,1,combinatorial geometry
150,"Dino walks from the entrance to the exit. He is only allowed to go through each room once. The rooms have numbers (see diagram). Dino adds up all the numbers of the rooms he walks through.
<image1>
What is the biggest result he can get this way?",[],images/150.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1560x439 at 0x7CE8DAE37490>,34,,2,arithmetic
151,"Out of how many circles is the beaver made of?
<image1>",[],images/151.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=327x289 at 0x7CE8DAE37C90>,8,,1,counting
153,"Each bowl has 4 balls. Add up the numbers on the balls. In which bowl is the result biggest?
<image1>","['A', 'B', 'C', 'D', 'E']",images/153.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1570x274 at 0x7CE8DAE38D10>,A,,2,arithmetic
154,"Mr Beaver re-arranges the parts to build a kangaroo.
<image1>
Which part is missing?
<image2>","['A', 'B', 'C', 'D', 'E']",images/154.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1608x923 at 0x7CE8DAE39510>,A,,1,combinatorial geometry
155,"Sara says: ""My boat has more than one circle. It also has 2 triangles more than squares."" Which boat belongs to Sara?
<image1>","['A', 'B', 'C', 'D', 'E']",images/155.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1508x332 at 0x7CE8DAE39D50>,E,,1,counting
156,"The bee on the right has a few pieces missing. Each piece costs points (Punkte).
<image1>
How many points does Maya need to complete the bee?",[],images/156.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1140x584 at 0x7CE8DAE3A550>,13,,2,arithmetic
158,"Hansi sticks 12 cubes together to make this figure. He always puts one drop of glue between two cubes. How many drops of glue does he need?
<image1>",[],images/158.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=331x312 at 0x7CE8DAE3B550>,11,,1,solid geometry
160,"Max wants to complete the jigsaw shown. He has different pieces.
<image1>
Which pieces does he have to use?
<image2>","['A', 'B', 'C', 'D', 'E']",images/160.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1740x842 at 0x7CE8DAE48590>,A,,1,combinatorial geometry
161,"Elvis has 6 triangles with this pattern
<image1>
Which picture can he make with them?
<image2>","['A', 'B', 'C', 'D', 'E']",images/161.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1548x592 at 0x7CE8DAE48D50>,A,,1,combinatorial geometry
163,"Maria has a total of 19 apples in 3 bags. She takes the same amount of apples from each bag. Then there are 3, 4 and 6 apples in the bags.
<image1>
How many apples did Maria take from each bag?",[],images/163.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x258 at 0x7CE8DAE49D10>,2,,1,algebra
165,"Let $A B C$ be a triangle with area 30. Let $D$ be any point in its interior and let $e, f$ and $g$ denote the distances from $D$ to the sides of the triangle. What is the value of the expression $5 e+12 f+13 g$?
<image1>",[],images/165.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=639x314 at 0x7CE8DAE4AE50>,60,,5,metric geometry - length
166,"The diagram shows two squares: one has a side with a length of 2 and the other (abut on the first square) has a side with a length of 1. What is the area of the shaded zone?
<image1>",[],images/166.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=404x227 at 0x7CE8DAE4B5D0>,1,,5,metric geometry - area
169,"In a square of side $s$, where $s$ is an odd integer, the squares of side 1 on the diagonals are colored (like in the picture, where the square is of side 7). How many white squares are there?
<image1>","['$s^{2}+1-2 s$', '$s^{2}+4-4 s$', '$2 s^{2}+1-4 s$', '$s^{2}-1-2 s$', '$s^{2}-2 s$']",images/169.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=401x398 at 0x7CE8DAE4CF50>,A,,5,combinatorial geometry
170,"On the circumference of radius $r$ three points $X, Y$ and $A$ are marked such that $X Y=r, X Y \perp A Y$ (see the figure). How many degrees has the angle $X A Y$?
<image1>",[],images/170.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=351x372 at 0x7CE8DAE4D750>,30,,4,metric geometry - angle
171,"The set of all pairs $(x, y)$ which satisfy conditions $x y \leqslant 0$ and $x^{2}+y^{2}=4$ is on the graph:
<image1>","['A', 'B', 'C', 'D', 'E']",images/171.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1449x388 at 0x7CE8DAE4DF50>,C,,4,analytic geometry
